timestamp,Open,High,Low,Close,Volume
2025-09-09 09:30:00-04:00,4508.3,4517.44,4505.5,4510.82,5652
2025-09-09 09:35:00-04:00,4510.82,4523.36,4503.11,4518.37,5613
2025-09-09 09:40:00-04:00,4518.37,4530.16,4511.13,4521.09,6154
2025-09-09 09:45:00-04:00,4521.09,4521.09,4501.8,4508.68,6337
2025-09-09 09:50:00-04:00,4508.68,4510.83,4477.82,4482.89,15974
2025-09-09 09:55:00-04:00,4482.89,4495.53,4480.36,4482.31,6135
2025-09-09 10:00:00-04:00,4482.31,4486.49,4476.66,4480.35,3945
2025-09-09 10:05:00-04:00,4480.35,4482.6,4472.74,4479.57,2943
2025-09-09 10:10:00-04:00,4479.57,4483.52,4474.7,4477.28,2977
2025-09-09 10:15:00-04:00,4477.28,4488.94,4477.28,4484.6,3283
2025-09-09 10:20:00-04:00,4484.6,4487.38,4477.75,4481.52,3305
2025-09-09 10:25:00-04:00,4481.52,4482.41,4474.12,4475.24,2604
2025-09-09 10:30:00-04:00,4475.24,4475.89,4463.31,4467.17,2927
2025-09-09 10:35:00-04:00,4467.17,4476.22,4463.82,4470.92,2888
2025-09-09 10:40:00-04:00,4470.92,4479.53,4469.99,4475.24,3861
2025-09-09 10:45:00-04:00,4475.24,4480.99,4473.08,4475.65,3173
2025-09-09 10:50:00-04:00,4475.65,4477.4,4465.14,4467.89,5980
2025-09-09 10:55:00-04:00,4467.89,4469.63,4459.09,4461.79,2805
2025-09-09 11:00:00-04:00,4461.79,4461.79,4453.11,4455.83,2951
2025-09-09 11:05:00-04:00,4455.83,4459.75,4453.53,4456.39,2658
2025-09-09 11:10:00-04:00,4456.39,4460.54,4453.86,4458.88,2073
2025-09-09 11:15:00-04:00,4458.88,4464.63,4456.7,4462.2,1352
2025-09-09 11:20:00-04:00,4462.2,4466.86,4459.13,4465.27,1933
2025-09-09 11:25:00-04:00,4465.27,4468.18,4461.83,4467.07,1813
2025-09-09 11:30:00-04:00,4467.07,4468.24,4461.89,4466.03,1470
